aspicious		1
aspics		1
aspir'd		2
aspiration		1
aspire		5
aspiring		6
asquint		2
ass		116
ass's		4
ass-head		2
assail		6
assail'd		2
assailable		2
assailant		1
assailants		2
assailed		5
assaileth		1
assailing		2
assails		2
assassination		2
assault		24
assaulted		3
assaults		5
assay		17
assay'd		3
assaying		1
assays		4
assemblance		1
assemble		9
assembled		13
assemblies		3
assembly		21
assent		3
asses		10
assez		1
assign		3
assign'd		6
assigned		2
assigns		2
assinico		1
assist		21
assistance		16
assistances		2
assistant		4
assistants		2
assisted		4
assisting		1
associate		1
associated		1
associates		1
assuage		4
assubjugate		1
assum'd		1
assume		13
assumes		4
assur'd		56
assurance		34
assure		54
assured		22
assuredly		5
assures		1
assyrian		2
astonish		3
astonish'd		3
astonished		2
astraea's		1
astray		3
astrea		1
astronomer		2
astronomers		1
astronomical		2
astronomy		2
asunder		24
at		2584
at's		3
atalanta's		3
ate		3
ates		2
athenian		41
athenian's		3
athenians		7
athens		95
athol		2
athversary		3
athwart		10
atlas		1
atomies		5
atomy		1
atone		8
atonement		3
atonements		1
atropos		1
attach		11
attach'd		7
attached		1
attachment		1
attain		12
attain'd		7
attainder		5
attains		1
attaint		11
attainted		8
attainture		1
attempt		46
attemptable		1
attempted		3
attempting		2
attempts		10
attend		130
attend'st		1
attendance		12
attendant		61
attendant's		1
attendant-so		1
attendants		387
attended		75
attendents		5
attendeth		1
attending		53
attends		23
attent		1
attention		8
attentive		7
attentivenes		1
attest		5
attested		1
attir'd		3
attire		22
attired		4
attires		3
attorney		7
attorney'd		1
attorneyed		1
attorneys		1
attorneys-general		1
attorneyship		2
attract		1
attraction		3
attractive		3
attracts		2
attribute		5
attributed		1
attributes		4
attribution		1
attributive		2
atwain		4
au		2
aubrey		1
auburn		1
aucun		2
audacious		7
audaciously		2
audacity		3
audible		2
audience		40
audis		1
audit		9
auditor		4
auditors		2
auditory		1
audre'y		1
audrey		43
aufidius		118
aufidiuses		1
auger		1
auger's		1
aught		89
augment		4
augmentation		1
augmented		5
augmenting		2
augurer		3
augurers		6
augures		1
auguring		1
augurs		1
augury		2
august		2
augustus		6
auld		1
aumerle		83
aunchient		9
aunt		31
aunt-mother		1
aunts		2
auricular		1
aurora's		2
auspicious		7
aussi		2
austere		4
austerely		2
austereness		1
austerity		3
austria		27
austria's		2
aut		1
authentic		4
author		14
author's		2
authorities		6
authority		79
authorized		2
authorizing		1
authors		6
autolycus		78
autre		1
autumn		8
autumn's		2
auvergne		5
avail		6
avails		2
avarice		3
avaricious		1
avaunt		18
ave		1
ave-maries		2
aveng'd		3
avenge		1
avenged		2
averring		1
avert		1
aves		1
avez		1
avis'd		3
avoid		45
avoided		11
avoiding		1
avoids		1
avoirdupois		2
avouch		13
avouch't		1
avouched		1
avouches		2
avouchment		1
avow		3
aw'd		1
await		2
awaits		1
awak'd		18
awake		100
awake!-why		1
awaked		3
awaken		1
awakened		1
awakens		1
awakes		5
awaking		6
award		2
awards		3
awasy		1
away		1134
away!--i		1
away-the		1
away.-let		1
awe		24
aweary		9
aweless		2
awful		7
awhile		158
awkward		3
awl		2
awooing		1
awork		3
awry		12
axe		29
axe's		1
axle-tree		2
axletree		2
ay		798
ay!-[aside		1
ay'll		1
aye		17
ayez		1
azur'd		2
azure		1
b		9
b'uy		1
ba		2
baa		2
babbl'd		1
babble		2
babbling		6
babe		56
babe's		1
babes		33
babies		3
baboon		4
baboon's		1
baboons		1
baby		17
baby's		1
baby.-here		1
babylon		4
bacare		1
bacchanals		4
bacchus		2
bach'lorship		2
bachelor		23
bachelors		3
back		440
back'd		9
back-door		3
back-friend		1
back-return		1
back-sword		1
back-trick		1
back-wounding		1
backbite		2
backbitten		1
backing		3
backs		33
backward		23
backwardly		1
backwards		1
bacon		2
bacon-fed		1
bacons		1
bad		141
bad'st		2
bad-causer		1
bade		45
badge		18
badged		1
badges		4
badly		1
badness		5
baes		2
baffl'd		2
baffle		2
baffled		2
bag		9
bag-piper		2
baggage		8
bagot		27
bagpipe		6
bags		13
bail		22
bailiff		1
baillez		1
baisant		1
baisees		1
baiser		1
bait		23
baited		8
baiting		1
baiting-place		2
baits		3
bajazet's		1
bak'd		8
bake		3
baked		1
baker's		1
bakers		2
bakes		1
baking		1
bal		9
balance		11
balcony		2
bald		21
bald-pate		2
bald-pated		1
baldrick		1
bale		3
baleful		7
balk		1
balk'd		1
ball		8
ballad		18
ballad-maker's		1
ballad-makers		3
ballads		6
ballast		1
ballasting		2
ballet-mongers		2
ballow		1
balls		14
balm		18
balm'd		1
balms		1
balmy		3
balsam		1
balsamum		1
balth		10
balthasar		29
balthazar		14
bames		1
ban		7
ban'd		1
ban-dogs		1
banbury		1
band		42
bandied		1
banding		1
bandit		12
banditti		7
banditto		1
bands		21
bands-may		1
bandy		7
bandying		2
bane		9
banes		3
bang		1
bang'd		2
bangor		1
banish		37
banish'd		97
banished		56
banishers		2
banishment		69
banister		2
bank		20
bank'd		1
bankrout		1
bankrupt		13
bankrupts		1
banks		16
banner		4
bannerets		1
banners		8
banning		1
banns		3
banquet		40
banqueted		2
banqueting		4
banquets		2
banquo		85
banquo's		6
bans		3
baptism		6
baptista		113
baptista's		10
baptista'so		1
baptiz'd		2
bar		38
bar'd		1
bar'st		2
barbarian		3
barbarians		1
barbarism		4
barbarous		22
barbary		14
barbason		2
barbed		2
barber		1
barber'd		1
barber's		8
barbermonger		2
bard		17
bardolph		253
bardolph's		3
bards		1
bare		67
bare-bone		1
bare-fac'd		1
bare-foot		1
bare-gnawn		1
bare-headed		1
bare-pick'd		1
bare-ribb'd		1
bared		1
barefac'd		1
barefaced		1
barefoot		6
bareheaded		7
barely		4
bareness		5
barful		1
bargain		22
bargain'd		2
bargains		3
barge		6
bargulus		1
baring		1
bark		58
bark'd		3
bark'st		1
barking		3
barkloughly		1
barks		7
barky		1
barley		2
barley-broth		2
barm		2
barn		3
barnacles		1
barnardine		32
barnardine's		1
barne		2
barnes		3
barnet		5
barns		2
baron		1
barons		7
barony		1
barr'd		11
barr'd-up		1
barrabas		2
barrel		2
barrels		1
barren		44
barren-spirited		1
barrenly		1
barrenness		1
barricado		2
barricadoes		1
barrow		1
bars		17
barson		2
barter'd		1
bartholomew		2
bartholomew-tide		1
bas		1
basan		1
base		176
base-born		3
baseless		1
basely		9
baseness		24
baser		11
bases		2
basest		13
bashful		6
bashfulness		1
basilisco-like		2
basilisk		7
basilisks		6
basimecu		1
basin		9
basingstoke		1
basins		1
basis		6
bask'd		1
basket		42
basket-hilt		1
baskets		3
bass		6
bass-string		1
bass-viol		1
bassanio		128
bassanio's		7
basset		14
bassianus		51
basta		1
bastard		238
bastard's		2
bastardizing		2
bastardly		1
bastards		21
bastardy		13
basted		1
bastes		1
bastinado		3
basting		4
bat		6
bat's		1
batailles		1
batch		1
bate		17
bated		11
bates		11
bath		10
bath'd		6
bathe		6
bathed		3
bathing		1
baths		1
bating		1
batler		1
bats		3
batt'red		2
batt'ring		1
batt'ry		6
battalia		1
battalions		1
batten		2
batter		3
batter'd		1
battering		2
batters		3
battery		7
battle		141
battle's		4
battle-axe		2
battlefield		3
battlements		13
battles		19
batty		1
bauble		9
baubles		1
baubling		1
baulk'd		1
bavin		1
bawcock		5
bawd		48
bawd's		1
bawd-born		1
bawdry		4
bawds		8
bawdy		12
bawdy-house		3
bawl		1
bawling		1
bay		38
bay'd		3
baying		1
baynard's		4
bayonne		1
bays		2
be		7742
be's		1
be'st		14
be't		16
be-all		1
be-but		1
be-dimm'd		2
be-gar		1
be-gnaw		1
be-i		1
be-retire		1
beach		9
beached		2
beachy		1
beacon		4
bead		1
beaded		1
beadle		15
beadles		4
beads		14
beadsmen		1
beagle		1
beagles		1
beak		6
beaks		2
beam		14
beams		36
bean		1
bean-fed		1
beans		1
bear		607
bear's		1
bear'st		8
bear't		2
bear-baiting		2
bear-baitings		2
bear-herd		1
bear-like		1
bear-whelp		2
bear-whelps		1
beard		122
beard's		1
bearded		4
beardless		2
beards		15
bearer		7
bearers		4
bearest		6
beareth		1
bearing		77
bearing-cloth		3
bears		123
beast		92
beast's		1
beast-o		1
beastliest		1
beastliness		1
beastly		23
beasts		47
beat		243
beat'em		1
beated		1
beaten		51
beating		22
beatrice		80
beats		32
beau		31
beaufort		19
beaufort's		4
beaumond		1
beaumont		2
beauteous		40
beautied		1
beauties		15
beautified		5
beautiful		23
beautify		3
beauty		229
beauty's		31
beauty-ay		1
beauty-waning		1
beaver		7
beavers		1
became		26
because		190
bechanc'd		1
bechance		1
bechanced		1
beck		8
beck'd		1
beck'ning		1
beckon'd		1
beckons		6
becks		2
becom'd		2
